,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
layer_0,2.1878417,1.0309205,3.909521,0.7791265,1.9191102,1.7078944,4.3604074,0.42845035,6.532123,2.5079312,1.5891211,1.4844724
layer_1,0.49492544,0.30968624,0.16836074,0.6094892,0.43836546,3.2330768,0.35286516,0.34751594,1.7792239,0.11486127,0.37338093,2.3713422
layer_2,1.6662787,0.0048943306,1.7102178,0.3463204,0.73340875,0.37275186,1.05478,0.37004519,0.34502357,0.32339382,0.709108,1.0178988
layer_3,0.36901867,0.60808337,0.17230868,1.4054371,0.8359237,0.8549274,0.18173102,0.13536032,0.45002496,1.9501803,0.26804644,0.25477672
layer_4,0.7802302,0.42206544,1.9755287,0.28632206,0.3005439,0.4220067,0.993129,0.12700509,0.06243011,0.3337335,3.2996182,0.34983188
layer_5,0.5024383,0.064821124,5.7929344,0.7336766,0.35707706,0.22929916,0.16774009,0.20055114,0.49584275,0.09334525,0.173264,0.4960671
layer_6,3.3495214,0.89219964,0.049714435,0.42802942,0.31635764,0.6987206,0.7115515,0.10466252,0.20367843,0.19082734,0.07344188,0.15978195
layer_7,3.3757968,0.050612494,0.5573849,0.10628584,0.38827842,0.0017656247,0.099017605,0.15292813,0.5046971,0.7197203,0.5364318,0.16188753
layer_8,0.052477874,0.045343,1.0786326,0.18184173,0.011032133,0.01007473,0.20011018,0.42962658,1.0485036,0.44547206,0.16599268,0.6239776
layer_9,0.21355323,0.08580306,0.097500674,0.4583122,0.14441137,1.0335404,0.26593962,0.08185462,0.16763917,0.04761487,0.29193926,0.29336518
layer_10,0.15369903,0.057919294,0.19831832,0.12820601,0.17478049,0.9921609,0.47316563,1.3089175,0.5674301,0.3017326,0.20215133,0.22145265
layer_11,0.6042361,0.09876723,0.12613633,0.12135294,0.94705373,0.19203661,0.45321116,0.17829154,0.17171994,0.24514575,0.44739616,0.26052138
