,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15,head_16,head_17,head_18,head_19,head_20,head_21,head_22,head_23,head_24,head_25,head_26,head_27,head_28,head_29,head_30,head_31
layer_0,9.0,12.0,6.0,7.0,5.0,3.0,6.0,10.0,10.0,7.0,14.0,9.0,14.0,10.0,11.0,6.0,12.0,2.0,10.0,9.0,9.0,12.0,10.0,12.0,10.0,14.0,13.0,10.0,10.0,15.0,10.0,11.0
layer_1,14.0,8.0,14.0,11.0,9.0,1.0,3.0,17.0,13.0,5.0,11.0,13.0,4.0,13.0,7.0,6.0,13.0,2.0,2.0,9.0,12.0,3.0,7.0,11.0,4.0,5.0,7.0,12.0,10.0,10.0,14.0,11.0
layer_2,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,7.0,6.0,8.0,6.0,8.0,7.0,7.0,8.0,7.0,7.0,7.0,7.0
layer_3,7.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,11.0,9.0,7.0,7.0,12.0,8.0,7.0,6.0,8.0,8.0,8.0,8.0,7.0,7.0,8.0,7.0,9.0,8.0
layer_4,7.0,9.0,8.0,8.0,8.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,8.0,7.0,8.0,8.0,10.0,8.0,8.0,8.0,7.0,8.0,9.0,8.0
layer_5,8.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,8.0,8.0,8.0,7.0,6.0,7.0,8.0,8.0,8.0,8.0,9.0,8.0,9.0,8.0,9.0,8.0,9.0,7.0,8.0,9.0,8.0,8.0,7.0,6.0
layer_6,8.0,8.0,8.0,6.0,7.0,7.0,12.0,8.0,7.0,7.0,9.0,7.0,6.0,8.0,7.0,8.0,7.0,8.0,8.0,8.0,8.0,9.0,8.0,9.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,9.0
layer_7,9.0,8.0,8.0,8.0,8.0,9.0,7.0,5.0,7.0,8.0,9.0,9.0,7.0,7.0,10.0,9.0,7.0,7.0,7.0,10.0,8.0,8.0,8.0,8.0,9.0,8.0,8.0,8.0,8.0,7.0,8.0,7.0
layer_8,8.0,10.0,8.0,9.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,12.0,9.0,7.0,9.0,7.0,8.0,7.0,7.0,8.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,12.0
layer_9,8.0,8.0,8.0,7.0,8.0,7.0,7.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,8.0,7.0,7.0,7.0,8.0,7.0,7.0,8.0,10.0,7.0,8.0,8.0,8.0,10.0,6.0
layer_10,7.0,9.0,8.0,8.0,10.0,5.0,8.0,11.0,8.0,9.0,7.0,8.0,10.0,6.0,6.0,7.0,9.0,9.0,7.0,9.0,7.0,9.0,7.0,10.0,8.0,8.0,8.0,7.0,10.0,7.0,8.0,6.0
layer_11,7.0,6.0,7.0,8.0,8.0,7.0,8.0,8.0,8.0,10.0,8.0,7.0,8.0,8.0,7.0,8.0,7.0,15.0,8.0,8.0,7.0,5.0,9.0,9.0,8.0,8.0,8.0,8.0,9.0,7.0,9.0,8.0
layer_12,11.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,8.0,6.0,8.0,6.0,7.0,11.0,7.0,8.0,7.0,8.0,7.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,8.0,11.0
layer_13,8.0,8.0,8.0,8.0,7.0,7.0,8.0,6.0,8.0,6.0,8.0,7.0,6.0,6.0,8.0,7.0,5.0,8.0,8.0,6.0,8.0,7.0,10.0,7.0,9.0,6.0,7.0,8.0,6.0,6.0,7.0,7.0
layer_14,7.0,7.0,8.0,6.0,8.0,8.0,7.0,8.0,6.0,6.0,7.0,8.0,8.0,16.0,7.0,9.0,8.0,8.0,6.0,8.0,9.0,8.0,7.0,8.0,6.0,7.0,8.0,10.0,8.0,8.0,7.0,8.0
layer_15,11.0,8.0,7.0,7.0,6.0,8.0,7.0,8.0,8.0,7.0,6.0,7.0,8.0,7.0,8.0,9.0,6.0,8.0,8.0,9.0,8.0,8.0,7.0,8.0,6.0,7.0,7.0,8.0,8.0,7.0,7.0,13.0
layer_16,11.0,7.0,8.0,7.0,6.0,7.0,10.0,8.0,7.0,7.0,8.0,7.0,6.0,6.0,6.0,7.0,8.0,7.0,12.0,6.0,7.0,7.0,7.0,12.0,7.0,7.0,8.0,6.0,8.0,6.0,6.0,8.0
layer_17,8.0,6.0,6.0,6.0,9.0,10.0,10.0,6.0,7.0,7.0,8.0,9.0,7.0,11.0,7.0,5.0,9.0,10.0,8.0,9.0,11.0,8.0,10.0,7.0,7.0,10.0,6.0,6.0,10.0,7.0,7.0,7.0
layer_18,6.0,7.0,7.0,7.0,7.0,6.0,7.0,11.0,9.0,8.0,17.0,6.0,6.0,6.0,6.0,16.0,7.0,7.0,6.0,7.0,5.0,6.0,7.0,6.0,8.0,9.0,7.0,7.0,7.0,6.0,6.0,7.0
layer_19,8.0,9.0,11.0,8.0,10.0,6.0,8.0,6.0,6.0,6.0,6.0,8.0,10.0,7.0,9.0,7.0,7.0,6.0,5.0,7.0,8.0,13.0,7.0,6.0,6.0,7.0,6.0,6.0,8.0,6.0,14.0,11.0
layer_20,6.0,7.0,8.0,9.0,9.0,8.0,9.0,9.0,7.0,7.0,6.0,7.0,8.0,7.0,7.0,7.0,8.0,4.0,7.0,7.0,7.0,9.0,8.0,7.0,9.0,5.0,9.0,9.0,8.0,8.0,9.0,8.0
layer_21,7.0,6.0,8.0,8.0,8.0,10.0,6.0,7.0,9.0,8.0,6.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,6.0,7.0,10.0,6.0,11.0,7.0,7.0,6.0,7.0,7.0,9.0,8.0,10.0,7.0
layer_22,8.0,8.0,8.0,7.0,7.0,6.0,6.0,8.0,6.0,6.0,6.0,6.0,8.0,6.0,8.0,6.0,7.0,7.0,7.0,6.0,10.0,7.0,7.0,7.0,8.0,7.0,7.0,8.0,7.0,8.0,8.0,9.0
layer_23,6.0,7.0,9.0,8.0,7.0,7.0,6.0,6.0,8.0,4.0,6.0,7.0,8.0,9.0,6.0,7.0,6.0,7.0,8.0,6.0,5.0,6.0,9.0,8.0,10.0,7.0,8.0,9.0,8.0,6.0,7.0,8.0
