,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
layer_0,115,87,35,46,16,4,38,108,153,61,136,35
layer_1,153,150,11,17,8,3,31,117,0,197,2,2
layer_2,39,0,2,2,22,0,189,1,6,121,4,20
layer_3,2,6,146,1,5,0,0,0,15,0,15,94
layer_4,10,80,6,2,0,0,0,0,1,31,1,0
layer_5,4,9,0,3,11,31,35,177,13,0,14,0
layer_6,18,21,22,251,0,0,10,0,11,2,9,40
layer_7,0,11,27,211,1,1,1,1,40,1,19,81
layer_8,14,0,59,76,0,3,82,61,94,11,1,10
layer_9,1,12,9,303,5,11,81,0,19,91,0,3
layer_10,179,0,0,2,23,144,17,0,1,72,12,0
layer_11,285,219,0,158,158,92,3,7,15,60,126,206
