,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
layer_0,33,1,18,1,12,2,37,33,9,24,15,20
layer_1,37,23,36,21,31,16,21,32,22,21,44,6
layer_2,25,21,44,45,26,37,19,37,27,46,31,21
layer_3,21,20,45,30,21,21,37,49,23,21,21,26
layer_4,22,24,21,45,21,21,30,11,23,21,21,45
layer_5,21,21,31,21,20,21,26,21,22,21,22,21
layer_6,26,21,21,21,21,24,21,23,45,21,21,21
layer_7,36,21,21,21,22,21,21,21,31,21,21,21
layer_8,21,21,21,21,21,21,20,23,21,21,21,23
layer_9,22,21,21,23,21,21,21,21,31,21,21,21
layer_10,21,21,21,21,21,21,21,23,21,22,22,21
layer_11,19,21,21,21,21,21,21,21,7,21,21,23
