,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15,head_16,head_17,head_18,head_19,head_20,head_21,head_22,head_23,head_24,head_25,head_26,head_27,head_28,head_29,head_30,head_31
layer_0,10.980501,2.5524058,31.300236,4.1039343,3.0643365,2.997622,2.7876854,2.6474524,3.6014621,0.9180345,3.325789,6.2566752,1.2028389,1.3291659,0.92133105,1.6654205,0.79384303,5.8872013,0.39338276,1.3559046,16.152512,10.014654,6.711267,11.231512,4.9051743,16.131489,4.102909,6.3510017,0.24353522,0.14596024,1.3426728,0.09120143
layer_1,7.629289,18.697147,1.2305406,3.4206073,1.2616314,2.8194578,1.0289087,0.58656406,0.8246583,0.84726197,6.130083,3.37757,7.7670655,3.134842,1.9485059,2.2951596,8.600136,2.3617077,7.035093,0.8522534,12.245021,0.25884786,0.14713702,0.11400422,2.5815504,0.22745226,2.8060048,0.5845235,1.5579431,1.9287424,3.6720827,1.6160727
layer_2,2.684414,0.5146065,1.7223097,0.2702201,4.751087,0.7309682,0.81937087,8.861988,1.2774845,3.652925,0.829323,5.698653,1.4592595,0.654242,0.29155862,0.24268852,2.0942328,1.1714095,2.1724327,1.8365222,0.033932213,1.0742427,2.2734528,0.697667,2.2448826,8.475809,0.11894697,0.8511947,1.2209247,0.50477064,1.5088767,11.13102
layer_3,1.2872713,1.7225109,6.0942483,4.4704967,1.0824445,33.162304,3.265358,6.821852,12.829232,1.4782993,12.690902,5.6617827,0.8863551,2.4873006,1.2847743,3.9120598,2.8651068,20.196453,7.9035354,2.6747515,2.807279,3.3560684,1.90771,1.4443066,2.9775982,1.4104267,4.8030705,0.81703013,9.0744915,3.648818,3.6907575,5.324336
layer_4,1.0627577,8.011598,4.757638,0.96518755,7.1710424,2.5834959,1.890257,3.304775,3.1207762,6.962407,3.6516948,1.9276681,17.348133,9.331006,4.2447906,2.3341234,0.052410237,16.678501,4.4150743,0.22157165,1.8680495,1.2486097,4.8249726,3.6395135,19.688915,3.7942812,3.0638144,7.9486413,2.1527243,0.3391419,1.2509694,18.060692
layer_5,1.6955891,0.848851,16.911215,12.086767,0.8985736,0.22862259,1.2330656,0.43890402,0.30694184,0.09422279,0.10110854,0.012845046,5.605901,15.774425,10.7204485,5.5152707,8.760691,4.773259,7.3428435,3.3040123,13.418111,3.889152,0.46798342,0.8436445,3.164185,12.379149,3.7012036,2.799799,3.6008863,9.364904,3.9096155,2.4635084
layer_6,19.04932,5.684242,10.445995,27.595297,4.6626444,6.907814,2.4681952,8.31005,0.14912748,0.072298996,0.20104827,0.01609258,1.2096596,3.128153,1.1762757,11.127844,3.8756573,9.658699,4.6828313,4.085934,3.62786,9.885312,11.79215,2.3944957,9.199094,2.6862063,4.9946356,2.6453052,3.475907,5.0845876,3.5644794,3.8913765
layer_7,12.926522,6.141897,5.4809566,4.652261,6.565805,0.13997534,0.92783684,4.9601955,2.864289,0.2681433,4.2591457,5.4336343,0.5848381,6.832149,6.310557,7.362011,19.204313,9.083589,1.8570532,8.545568,2.8677106,2.278245,1.8163582,2.4063957,3.4924412,4.2385244,3.71458,3.5906515,0.23902488,0.99887055,1.6571473,18.331514
layer_8,2.972085,2.4580624,4.564894,1.9892771,2.4142544,4.277822,5.0325174,4.7574387,8.403669,11.813733,5.681069,16.214334,9.2226,4.820132,6.547803,5.332315,1.3409687,0.0954193,0.12687036,0.09638455,0.9157271,1.2654612,5.49772,2.6953285,2.0722914,16.227287,23.950394,3.923301,2.8172166,11.522086,1.3577768,1.3533124
layer_9,2.9002814,3.7083738,3.7759707,5.146968,9.240514,9.020122,5.977235,8.40565,0.20959389,1.2805675,0.42430177,25.700005,0.8154456,7.6957297,10.563021,5.4325986,0.5037495,0.17029883,1.4917167,8.451694,10.539534,0.8426246,2.2081532,4.3843775,0.60555726,5.404518,13.239127,1.6646297,18.158829,4.027205,6.985215,5.80157
layer_10,2.266201,0.14894146,0.03722987,1.3352394,4.5855036,9.77711,0.7326392,9.117231,8.579676,3.7856958,2.790323,3.3263452,3.1409607,0.7489038,0.58040637,1.8197483,8.806026,2.5533457,4.56397,5.989389,0.37092453,0.99460936,1.2033476,0.13725513,0.89104944,0.9829897,0.38295802,1.9497726,8.752626,3.5966268,2.5604782,1.8207074
layer_11,1.0490025,2.2621882,2.18285,1.4750203,0.5292559,0.28061038,0.23033665,0.20815258,3.4747221,16.64772,4.352866,15.326617,0.12542385,0.04194945,0.35186717,0.5718266,5.5365696,3.8331022,0.9960366,4.579357,0.59646696,1.0017835,0.54171634,0.9070466,0.46275643,0.8077304,0.20713484,1.2312936,2.920455,2.429595,7.133499,4.894597
layer_12,0.44395342,1.4492865,1.0569793,5.3011317,0.47357637,1.0948563,0.53219426,3.4383326,4.3271747,7.6796474,1.2375027,2.4351065,0.24216181,0.24491215,0.11207913,0.24706055,0.6830936,1.2551023,0.09598187,4.673594,1.5366626,5.9379883,1.1333251,4.790269,1.0202447,1.0695376,2.145224,2.4535577,0.27496806,0.15103899,0.3339865,0.08521357
layer_13,0.17592813,0.32474723,0.19394007,0.86201245,5.461796,0.46866524,0.2146882,0.23685783,3.658722,1.9716591,1.7600738,1.6463071,0.44862533,0.84861714,0.77571356,2.1442354,0.37378925,4.134382,0.49173328,0.34455544,0.17236178,0.16441445,0.09570283,1.4388669,9.265873,0.7140292,4.349954,6.1897044,0.7218143,1.2454392,5.368223,1.7390598
layer_14,0.35277537,2.1951835,0.15587889,0.17451066,1.5991749,3.0768464,3.4249935,0.9233594,0.6592041,0.16314098,3.3317776,0.11578175,0.09251429,0.8811708,0.33391044,0.3620788,0.71441126,2.6303651,5.2091727,6.467099,0.23676434,0.4086241,0.4632615,1.1411487,1.3276376,1.738566,0.37933686,2.3258536,0.10632331,0.09808578,0.21263042,0.23736385
layer_15,3.6574934,1.7748235,1.4099444,1.468136,0.46062315,1.3690196,3.7901049,0.604732,2.65587,1.9579545,1.2679689,2.6660519,0.58432734,0.9414172,0.36655277,2.0978084,0.1687246,0.39019394,2.7420247,0.10584075,0.14815487,0.5524193,0.4945838,0.34853035,4.7191854,0.71208423,6.068088,1.4714955,0.9915243,0.20924214,0.08598692,0.19850694
