,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
layer_0,7.2209845,0.15922141,5.5120196,0.54140174,3.058841,0.30809957,6.4056,7.15068,5.9881353,6.4839163,4.467355,5.31956
layer_1,7.130109,6.4564586,6.2023377,7.49208,5.896188,4.8547,5.1254725,6.5189133,5.289958,5.2516766,6.767412,0.5846299
layer_2,8.478336,5.9728475,9.4232645,10.102639,7.831965,7.0243764,5.4936967,6.56726,8.680756,9.091903,6.1933327,6.49234
layer_3,5.3162513,6.323133,9.783485,5.8412843,6.355895,7.2783813,7.0646176,10.5986395,8.988776,7.183942,5.929406,8.679975
layer_4,7.9490185,9.062237,6.2785373,7.1261506,6.6943626,7.863311,8.121449,5.186934,6.257093,7.410449,6.52189,10.474423
layer_5,5.9537163,6.923887,9.293404,7.8245487,11.282738,6.672825,7.777714,7.1803503,7.448097,6.4662666,6.356051,6.6796002
layer_6,9.00475,7.410931,6.518858,7.0728245,4.734054,7.0274,6.177329,7.3427753,7.4985204,6.9799194,5.617487,8.503987
layer_7,11.733541,6.262677,6.7392845,6.883307,7.463547,6.394178,6.7004094,6.2273355,6.436681,7.1640005,6.061245,6.344351
layer_8,6.55368,6.2616496,6.4758415,6.7930827,7.1836944,7.4276466,6.1470933,8.811176,6.9027877,7.1068587,6.616126,5.998851
layer_9,7.51814,6.812304,7.255567,9.0463085,7.274302,6.838025,6.875593,7.058322,5.3076544,6.1722355,7.742433,6.746014
layer_10,5.4247427,6.048627,5.4683766,6.4164896,5.8993134,8.610593,6.667435,6.35325,6.104815,7.1034784,6.239356,7.277895
layer_11,5.8451757,6.7267857,6.022271,7.2078757,5.7735915,6.0874376,6.6237984,6.2321477,6.880084,7.389844,6.8688745,7.074139
