,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
layer_0,120,100,37,46,16,4,38,117,162,69,149,35
layer_1,167,165,11,17,8,3,31,126,0,224,2,2
layer_2,39,0,2,2,32,0,211,1,6,141,4,20
layer_3,2,6,218,1,5,0,0,0,15,0,15,98
layer_4,10,81,6,2,0,0,0,0,1,31,1,0
layer_5,4,9,0,3,11,31,35,183,13,0,15,0
layer_6,18,22,22,287,0,0,10,0,11,2,9,40
layer_7,0,11,27,225,1,1,1,1,40,1,19,81
layer_8,14,0,59,76,0,3,82,63,95,11,1,10
layer_9,1,12,9,373,5,11,83,0,19,91,0,3
layer_10,208,0,0,2,23,152,17,0,1,72,12,0
layer_11,342,245,0,238,185,92,3,7,15,61,134,244
