,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
layer_0,90.64553,57.65702,78.768875,18.346586,57.753185,55.08707,47.23833,71.43695,43.73502,53.186306,43.34047,44.201412
layer_1,34.408863,56.151924,14.189519,24.537153,73.25351,40.349907,63.402195,95.34868,1.5848104,31.012135,38.019928,22.301132
layer_2,31.080935,56.314205,99.69602,11.814667,64.36329,42.38212,2.625482,35.561703,25.51888,99.69769,66.585625,20.240154
layer_3,8.305698,37.27799,47.974705,30.812298,80.61628,103.60146,5.0254207,25.538721,10.915683,44.30278,64.29576,113.41417
layer_4,47.52359,28.413322,28.081278,67.06311,4.7169523,32.431164,13.572351,23.497475,60.82024,42.98181,16.084152,74.76069
layer_5,28.80484,34.985573,21.744543,1.1550262,52.600246,91.23831,36.494923,95.38315,31.567146,17.76089,11.309261,74.43692
layer_6,65.79314,23.04881,24.592508,55.935707,52.736927,6.060579,20.09834,0.7008553,37.226345,82.214516,18.367989,42.66717
layer_7,88.30972,37.05885,15.036422,19.71079,27.057064,39.382553,27.795448,20.295223,14.034473,40.887592,30.172321,55.09127
layer_8,11.200237,30.765936,21.293633,36.296284,23.87237,21.86477,4.1670547,20.337315,60.80147,25.967262,38.610138,3.51827
layer_9,18.915098,9.484601,31.563103,57.204514,16.98774,14.298102,14.454932,17.62076,12.572758,16.111094,22.407822,10.617349
layer_10,27.235111,5.2839003,4.147008,0.75921756,6.888988,0.96546185,7.1434913,31.22582,5.923365,6.588192,1.2864954,5.5923376
layer_11,0.4443375,0.80273587,2.5660787,1.7332221,0.6880857,1.2010772,0.3579219,1.9812537,1.3298999,0.33520126,11.21985,1.842458
