,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15
layer_0,216.0,206.0,214.0,213.0,208.0,208.0,251.0,249.0,174.0,166.0,207.0,152.0,187.0,247.0,201.0,206.0
layer_1,248.0,107.0,118.0,145.0,243.0,136.0,118.0,118.0,126.0,122.0,165.0,194.0,189.0,191.0,152.0,135.0
layer_2,129.0,145.0,127.0,215.0,168.0,224.0,190.0,225.0,231.0,159.0,156.0,248.0,164.0,122.0,109.0,132.0
layer_3,69.0,70.0,69.0,75.0,69.0,136.0,69.0,76.0,69.0,69.0,69.0,69.0,69.0,70.0,68.0,72.0
layer_4,69.0,69.0,69.0,69.0,69.0,73.0,69.0,72.0,71.0,69.0,69.0,72.0,69.0,69.0,69.0,71.0
layer_5,87.0,73.0,136.0,70.0,68.0,78.0,91.0,69.0,71.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0
layer_6,71.0,80.0,69.0,69.0,72.0,69.0,69.0,69.0,68.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0
layer_7,69.0,115.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,78.0,69.0,91.0,77.0,69.0
layer_8,69.0,69.0,69.0,71.0,69.0,69.0,94.0,69.0,69.0,69.0,69.0,69.0,71.0,69.0,69.0,69.0
layer_9,75.0,69.0,70.0,69.0,69.0,152.0,69.0,71.0,69.0,76.0,74.0,69.0,69.0,73.0,70.0,69.0
layer_10,69.0,70.0,69.0,84.0,124.0,69.0,69.0,69.0,69.0,71.0,69.0,93.0,69.0,69.0,72.0,69.0
layer_11,69.0,69.0,68.0,69.0,110.0,85.0,69.0,69.0,69.0,69.0,69.0,158.0,73.0,72.0,69.0,69.0
layer_12,69.0,69.0,69.0,69.0,70.0,69.0,69.0,79.0,69.0,69.0,69.0,71.0,123.0,81.0,69.0,70.0
layer_13,73.0,69.0,69.0,69.0,70.0,73.0,69.0,69.0,69.0,71.0,69.0,69.0,70.0,69.0,75.0,69.0
layer_14,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,85.0,177.0,69.0,70.0,69.0,69.0,69.0,69.0
layer_15,69.0,73.0,70.0,69.0,69.0,69.0,69.0,69.0,73.0,69.0,69.0,69.0,69.0,140.0,71.0,69.0
layer_16,69.0,69.0,69.0,74.0,69.0,69.0,69.0,69.0,69.0,69.0,70.0,69.0,69.0,69.0,69.0,69.0
layer_17,69.0,69.0,71.0,69.0,69.0,69.0,70.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0
layer_18,69.0,69.0,69.0,69.0,70.0,69.0,69.0,69.0,69.0,89.0,69.0,81.0,69.0,69.0,69.0,69.0
layer_19,69.0,69.0,71.0,69.0,72.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0
layer_20,69.0,69.0,69.0,70.0,69.0,69.0,69.0,69.0,69.0,70.0,69.0,72.0,69.0,69.0,207.0,69.0
layer_21,69.0,69.0,69.0,69.0,69.0,71.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0
layer_22,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0
layer_23,69.0,69.0,69.0,69.0,69.0,71.0,69.0,69.0,71.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0
layer_24,69.0,69.0,69.0,69.0,69.0,69.0,69.0,70.0,69.0,69.0,69.0,69.0,73.0,69.0,70.0,70.0
layer_25,69.0,71.0,69.0,71.0,70.0,69.0,70.0,69.0,69.0,69.0,69.0,69.0,69.0,72.0,69.0,69.0
layer_26,70.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,70.0,69.0,71.0,69.0,69.0,74.0
layer_27,69.0,69.0,71.0,92.0,69.0,70.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0
